"","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","P1_id","P1_name","P1_hand","P1_ht","P1_ioc","P1_age","P1_rank","P1_rank_points","P2_id","P2_name","P2_hand","P2_ht","P2_ioc","P2_age","P2_rank","P2_rank_points","best_of","p1wins"
"47","2000-580","Australian Open","Hard","128","G",2000-01-17,"101897","Fernando Meligeni","L",180,"BRA",28.76659822,28,1011,"102494","Tomas Behrend","R",193,"GER",25.09787817,106,362,"5","N"
"48","2000-580","Australian Open","Hard","128","G",2000-01-17,"103017","Nicolas Kiefer","R",183,"GER",22.53524983,4,2184,"103084","Guillermo Canas","R",185,"ARG",22.14373717,74,543,"5","Y"
"49","2000-580","Australian Open","Hard","128","G",2000-01-17,"102839","Nicolas Lapentti","R",188,"ECU",23.42778919,7,1975,"102446","Andrei Medvedev","R",193,"UKR",25.3798768,32,954,"5","Y"
"50","2000-580","Australian Open","Hard","128","G",2000-01-17,"102770","John Van Lottum","R",185,"NED",23.77002053,66,594,"103096","Arnaud Clement","R",173,"FRA",22.08350445,54,694,"5","N"
"51","2000-580","Australian Open","Hard","128","G",2000-01-17,"101826","Alex Lopez Moron","R",175,"ESP",29.13620808,117,337,"102466","Jan Kroslak","R",188,"SVK",25.25119781,104,372,"5","N"
"52","2000-580","Australian Open","Hard","128","G",2000-01-17,"102021","Michael Chang","R",175,"USA",27.90143737,38,841,"103819","Roger Federer","R",185,"SUI",18.4421629,62,620,"5","N"
"53","2000-580","Australian Open","Hard","128","G",2000-01-17,"103507","Juan Carlos Ferrero","R",183,"ESP",19.92881588,40,807,"102401","Scott Draper","L",178,"AUS",25.61806982,200,176,"5","Y"
"54","2000-580","Australian Open","Hard","128","G",2000-01-17,"102133","Laurence Tieleman","R",180,"ITA",27.17316906,89,439,"103252","Alberto Martin","R",175,"ESP",21.40999316,52,715,"5","Y"
"55","2000-580","Australian Open","Hard","128","G",2000-01-17,"101962","Younes El Aynaoui","R",193,"MAR",28.34770705,29,991,"103157","Arvind Parmar","R",193,"GBR",21.82340862,257,124,"5","Y"
"56","2000-580","Australian Open","Hard","128","G",2000-01-17,"103163","Tommy Haas","R",188,"GER",21.79055441,12,1510,"102642","Cyril Saulnier","R",190,"FRA",24.42162902,171,215,"5","Y"
"57","2000-580","Australian Open","Hard","128","G",2000-01-17,"102610","Albert Costa","R",180,"ESP",24.56399726,20,1257,"103294","Christophe Rochus","R",170,"BEL",21.08966461,120,319,"5","N"
"58","2000-580","Australian Open","Hard","128","G",2000-01-17,"102061","Kevin Ullyett","R",178,"ZIM",27.65229295,182,190,"103420","Michal Tabara","R",175,"CZE",20.43531828,122,316,"5","Y"
